Centis,Quantidade de Declarantes,Soma de RB4 do Centil,Rendimento Tributável,Base de Cálculo,Aluguel,Previdência Oficial,Previdência RRA,Previdência Privada,Dependentes,Instrução,Despesas Médicas,Pensão Alimentícia,Livro-Caixa,Imóveis,Móveis,Financeiros,Outros Bens e Direitos,13º salário,Rendimentos de Aplicações Financeiras,Ganhos de Capital na Alienação de Bens/Direitos,Participação nos Lucros ou Resultados,Rendimentos Recebidos Acumuladamente,Ganhos Líquidos em Renda Variável,Juros sobre Capital Próprio,Outros,Rendimentos Sujeitos à Tributação Exclusiva,Imposto Devido,Lucros e Dividendos,Rendim. Sócio/Titular ME/EPP Opt SIMPLES,Transf. Patrimoniais doações e heranças,Parcela isenta de aposentadoria etc,Parcela isenta da Atividade Rural,"Pensão, proventos de aposentadoria etc",Indenização por Rescisão do Contrato de Trabalho etc,Rendimentos de Caderneta de  Poupança etc,Incorporação de Reservas de Capital/Bonificações em Ações,Outros Rendimentos Isentos,Dívida
41,384.167,18410420000,14905660000,11425820000,206650000,470730000,270000,10640000,311690000,142120000,508680000,72890000,15400000,18942860000,4796130000,9215400000,1326430000,893740000,102540000,3680000,132410000,21170000,1920000,3370000,35260000,1194090000,267490000,211940000,404920000,377960000,771770000,34970000,126990000,149760000,138000000,280000,472020000,3767630000
42,384.168,18750070000,15022620000,11499360000,178150000,437480000,330000,10910000,316870000,148560000,537540000,78600000,13180000,19065710000,4775160000,9073170000,1526560000,945940000,109000000,4200000,142680000,24380000,1690000,3570000,37490000,1268950000,277410000,204900000,378670000,380530000,832630000,35090000,138690000,160560000,148820000,360000,558780000,3404810000
43,384.168,19108720000,15044490000,11502470000,182930000,462470000,320000,11620000,313260000,152140000,540670000,77120000,12880000,19734700000,4890320000,9461590000,1612330000,945600000,113490000,4680000,147070000,26230000,1970000,3660000,40400000,1283100000,294920000,302420000,532260000,390500000,887110000,42090000,140710000,162500000,151370000,330000,562330000,3521360000
44,384.167,19470610000,15484590000,11821720000,198470000,469280000,410000,12120000,318140000,157760000,576350000,85050000,15940000,20447100000,5040220000,9945320000,1862790000,973760000,118350000,4830000,152750000,27410000,2080000,3730000,41360000,1324270000,320610000,220670000,433820000,397030000,951430000,42180000,149740000,167530000,158790000,390000,537190000,3669180000
45,384.168,19849280000,15763810000,12034620000,194560000,471480000,350000,12470000,318210000,160240000,574170000,78940000,14680000,22353520000,5022260000,9512110000,1511130000,1002810000,119590000,4890000,157580000,30020000,2250000,3750000,40040000,1360930000,344070000,208190000,413180000,401390000,1027570000,41330000,153020000,170980000,165530000,290000,544460000,3671940000
46,384.167,20237610000,15981380000,12191960000,205990000,454240000,450000,12780000,317100000,165740000,598370000,85290000,15050000,20965160000,5147360000,10403040000,1559440000,1006840000,127550000,5190000,166260000,28850000,2180000,4140000,43520000,1384530000,364550000,230860000,464620000,416460000,1069460000,46990000,164610000,171010000,169950000,340000,553840000,4109640000
47,384.168,20634840000,16176340000,12340850000,224070000,480560000,450000,12970000,312640000,167270000,596640000,82450000,18650000,21923980000,5260040000,10591680000,1680520000,994660000,127560000,5610000,167040000,31240000,1940000,4280000,43510000,1375840000,385770000,277800000,573950000,399420000,1099950000,48380000,163590000,173810000,170980000,400000,573800000,3901010000
48,384.168,21034700000,16320960000,12433710000,211600000,540750000,410000,14230000,315850000,172770000,638730000,84780000,18960000,21949970000,5431140000,21277840000,1725100000,1017010000,135180000,5450000,175240000,33640000,2200000,4150000,45110000,1417980000,404380000,323240000,648960000,432510000,1146560000,53430000,173200000,181290000,182280000,370000,586440000,3920210000
49,384.167,21460140000,16836320000,12795700000,212540000,523740000,310000,16420000,328310000,182450000,692210000,90010000,19340000,23432810000,5730690000,11097880000,1858510000,1065220000,145790000,6510000,181810000,36570000,2690000,4640000,47120000,1490350000,443520000,245430000,464660000,491020000,1191280000,58090000,185260000,186300000,193050000,400000,609000000,4650030000
50,384.168,21904430000,17139360000,13011340000,218180000,526830000,280000,16430000,327930000,186130000,729960000,93710000,21300000,22991470000,5508120000,11473100000,1815950000,1080550000,151960000,7080000,185710000,44360000,2590000,4970000,47010000,1524230000,473570000,251130000,496610000,440620000,1222970000,62350000,187670000,191300000,201960000,400000,626450000,4534690000
51,384.168,22361170000,17406580000,13204280000,224660000,530020000,410000,17470000,327260000,189110000,760010000,95360000,21350000,26114060000,5771340000,12288280000,1938660000,1082410000,159620000,6750000,195120000,40990000,2150000,5070000,49190000,1541300000,502740000,276160000,524230000,677880000,1266170000,61690000,208790000,193640000,206440000,470000,675700000,4265150000
52,384.167,22829120000,17530070000,13294700000,234120000,510170000,410000,19510000,320240000,187850000,782150000,109450000,28430000,24657210000,5690280000,12861890000,2075370000,1071620000,155640000,7460000,192040000,40930000,2160000,4820000,49080000,1523750000,534680000,384470000,684660000,447730000,1345990000,74910000,217860000,190580000,204510000,410000,671910000,4615780000
53,384.168,23278420000,18015440000,13654520000,249380000,540510000,480000,18880000,325760000,195870000,814070000,103160000,31230000,25137480000,13417140000,17797080000,3075970000,1089520000,161860000,7510000,197470000,44000000,2600000,5030000,51930000,1559920000,578390000,350790000,634290000,467540000,1319220000,75880000,221060000,198470000,212310000,460000,690590000,4627280000
54,384.168,23775430000,18367950000,13907100000,241740000,571130000,410000,19600000,331610000,203090000,858610000,106920000,27730000,25387650000,6128410000,12588100000,2169020000,1153010000,177020000,8150000,207390000,48680000,2430000,5150000,54250000,1656080000,610200000,293040000,537300000,563160000,1440070000,83330000,240650000,204490000,230130000,530000,721840000,4963630000
55,384.167,24284640000,18674230000,14135850000,238740000,569820000,410000,20070000,332960000,206690000,875920000,107070000,27390000,25683910000,5935090000,12718580000,2162490000,1174750000,181490000,7800000,212340000,54300000,2140000,5450000,54690000,1692960000,649140000,298050000,561750000,489020000,1528150000,83210000,261100000,204060000,235090000,390000,745640000,4798860000
56,384.168,24801870000,18826220000,14240380000,232810000,662010000,1020000,22840000,330890000,212530000,900470000,106370000,28600000,25895990000,6215380000,23851340000,2253790000,1177650000,185200000,9020000,221110000,53740000,2220000,5640000,56920000,1711500000,685100000,412000000,797580000,500410000,1522720000,93470000,259500000,201650000,238460000,510000,738260000,4805450000
57,384.167,25339940000,19516320000,14749420000,244890000,647070000,620000,22870000,344300000,225290000,943130000,111300000,33850000,26593760000,6199230000,13684050000,2380100000,1218160000,195950000,9950000,233630000,54080000,2660000,6030000,59840000,1780300000,756390000,330160000,614110000,500780000,1484780000,99470000,272050000,209230000,247600000,580000,785330000,4743310000
58,384.168,25903190000,19929010000,15057110000,245690000,665000000,520000,24140000,347830000,235770000,974670000,114220000,30480000,27458690000,6300210000,13815920000,2354200000,1248570000,205850000,11670000,251830000,62060000,3240000,5760000,61270000,1850250000,807130000,339800000,627890000,526910000,1474490000,105590000,280820000,217300000,263150000,580000,814310000,5545380000
59,384.168,26490180000,20332050000,15360090000,252930000,670840000,590000,26200000,349110000,241790000,985520000,119830000,33270000,28282480000,6390750000,14281730000,2504450000,1267760000,215130000,11330000,264680000,59290000,3080000,6240000,61550000,1889060000,863430000,368730000,706170000,547280000,1433580000,115620000,282640000,225450000,273150000,570000,863160000,5373170000
60,384.167,27098040000,20698570000,15630570000,259170000,694680000,570000,28610000,352610000,248890000,1011950000,127760000,34040000,27933960000,6574740000,14933350000,2670450000,1287440000,221880000,11440000,272690000,61930000,3280000,6650000,64120000,1929430000,924200000,407050000,760410000,557040000,1454360000,121530000,319420000,225730000,283910000,670000,896970000,5897480000
61,384.168,27725210000,21206120000,16013630000,273210000,715460000,530000,30220000,357560000,255120000,1036530000,128740000,44430000,28904190000,6862490000,15442930000,2572610000,1290680000,230700000,12340000,286540000,73470000,3740000,7490000,63590000,1968550000,1000680000,422750000,758210000,700860000,1436600000,130160000,340990000,222100000,286630000,910000,952200000,5347300000
62,384.168,28374470000,21411780000,16165690000,268300000,740240000,620000,31100000,356070000,259940000,1067520000,133360000,39340000,29824360000,6912400000,15942740000,3008280000,1320030000,241810000,14020000,300920000,205460000,3200000,7310000,67330000,2160080000,1045120000,491920000,910020000,600240000,1435830000,140240000,358440000,224950000,292930000,840000,947440000,5895070000
